episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
773,Scenario02,1032,-903.59,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
774,Scenario02,686,-616.58,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
775,Scenario02,1046,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
776,Scenario02,1244,-601.99,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
777,Scenario02,1027,-598.17,22.00,True,False,False,True,none,0,wall_collision,static.fence
778,Scenario02,1164,-900.41,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0013
779,Scenario02,1010,-605.97,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
780,Scenario02,985,-900.03,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
781,Scenario02,1084,-607.49,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
782,Scenario02,1109,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
783,Scenario02,1125,-604.82,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
784,Scenario02,854,-24.79,14.00,False,False,False,False,none,0,stuck,none
785,Scenario02,1159,-602.57,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
786,Scenario02,1196,-899.88,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
787,Scenario02,987,-605.63,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
788,Scenario02,1338,-900.57,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
789,Scenario02,1067,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
790,Scenario02,1131,-899.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0004
791,Scenario02,1020,-909.00,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0001
792,Scenario02,1181,-907.78,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
793,Scenario02,1107,-607.04,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
794,Scenario02,1185,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0011
795,Scenario02,1176,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
796,Scenario02,1016,-909.68,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
797,Scenario02,584,-619.53,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
798,Scenario02,1192,-602.31,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
799,Scenario02,1042,-602.23,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
800,Scenario02,1216,-602.00,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
801,Scenario02,1011,-609.86,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
802,Scenario02,1171,-602.61,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
803,Scenario02,1218,-899.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0011
804,Scenario02,1033,-599.17,22.00,True,False,False,True,none,0,wall_collision,static.fence
805,Scenario02,1045,-901.06,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0005
806,Scenario02,1067,-604.47,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
807,Scenario02,596,-621.82,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
808,Scenario02,1275,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
809,Scenario02,1163,-902.09,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0011
810,Scenario02,818,-619.54,17.00,True,False,False,True,none,0,wall_collision,static.vegetation
811,Scenario02,1091,-901.57,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
812,Scenario02,632,-618.61,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
813,Scenario02,1113,-605.35,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
814,Scenario02,1061,-599.78,22.00,True,False,False,True,none,0,wall_collision,static.fence
815,Scenario02,1169,-602.44,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
816,Scenario02,954,-602.17,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
817,Scenario02,927,-599.65,23.00,True,False,False,True,none,0,wall_collision,static.fence
818,Scenario02,591,-619.98,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
819,Scenario02,1064,-899.10,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0010
